Rz,¦Ñ,r,n,s,l,b,h1,h2,"fc,new","fc,old",fy,¦Òn,¦Ó
1.2,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.346666667
1.2,0,0,0,0,150,150,75,75,31.1,32.1,0,0,0.964
1.2,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.880888889
2.18,0,0,0,0,150,150,75,75,31.1,32.6,0,0,1.880444444
2.18,0,0,0,0,150,150,75,75,31.1,32.6,0,0,1.740888889
2.18,0,0,0,0,150,150,75,75,31.1,32.6,0,0,1.862666667
1.15,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.163555556
1.15,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.408
1.15,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.368444444
2.36,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.949777778
2.36,0,0,0,0,150,150,75,75,31.1,32.1,0,0,2.097777778
2.36,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.562666667
4.1,0,0,0,0,150,150,75,75,31.1,33.6,0,0,1.352
4.1,0,0,0,0,150,150,75,75,31.1,33.6,0,0,1.611111111
4.1,0,0,0,0,150,150,75,75,31.1,33.6,0,0,1.795555556
0.67,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.865333333
0.67,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.320888889
0.67,0,0,0,0,150,150,75,75,31.1,32.1,0,0,1.716888889
1.2,0,0,0,0,150,150,75,75,31.1,36.9,0,0,2.443555556
1.2,0,0,0,0,150,150,75,75,31.1,36.9,0,0,1.441777778
1.2,0,0,0,0,150,150,75,75,31.1,36.9,0,0,1.743111111
2.18,0,0,0,0,150,150,75,75,31.1,32.6,0,0,2.200444444
2.18,0,0,0,0,150,150,75,75,31.1,32.6,0,0,2.173333333
2.18,0,0,0,0,150,150,75,75,31.1,32.6,0,0,1.579555556
1.15,0,0,0,0,150,150,75,75,31.1,33.3,0,0,2.213333333
1.15,0,0,0,0,150,150,75,75,31.1,33.3,0,0,2.056
1.15,0,0,0,0,150,150,75,75,31.1,33.3,0,0,1.906666667
2.36,0,0,0,0,150,150,75,75,31.1,33.3,0,0,2.402666667
2.36,0,0,0,0,150,150,75,75,31.1,33.3,0,0,2.342222222
2.36,0,0,0,0,150,150,75,75,31.1,33.3,0,0,2.025777778
4.1,0,0,0,0,150,150,75,75,31.1,33.3,0,0,1.730666667
4.1,0,0,0,0,150,150,75,75,31.1,33.3,0,0,2.207111111
4.1,0,0,0,0,150,150,75,75,31.1,33.3,0,0,1.490222222
0.67,0,0,0,0,150,150,75,75,37.2,33.6,0,0,3.128444444
0.67,0,0,0,0,150,150,75,75,37.2,33.6,0,0,1.738222222
0.67,0,0,0,0,150,150,75,75,37.2,33.6,0,0,1.659555556
1.2,0,0,0,0,150,150,75,75,37.2,33.3,0,0,2.654666667
1.2,0,0,0,0,150,150,75,75,37.2,33.3,0,0,2.132444444
1.2,0,0,0,0,150,150,75,75,37.2,33.3,0,0,2.567111111
2.18,0,0,0,0,150,150,75,75,37.2,32.6,0,0,2.833777778
2.18,0,0,0,0,150,150,75,75,37.2,32.6,0,0,2.743555556
2.18,0,0,0,0,150,150,75,75,37.2,32.6,0,0,3.037333333
1.15,0,0,0,0,150,150,75,75,37.2,33.3,0,0,2.179555556
1.15,0,0,0,0,150,150,75,75,37.2,33.3,0,0,2.644444444
1.15,0,0,0,0,150,150,75,75,37.2,33.3,0,0,1.925333333
2.36,0,0,0,0,150,150,75,75,37.2,32.1,0,0,2.376444444
2.36,0,0,0,0,150,150,75,75,37.2,32.1,0,0,2.816
2.36,0,0,0,0,150,150,75,75,37.2,32.1,0,0,2.742222222
4.1,0,0,0,0,150,150,75,75,37.2,33.6,0,0,2.658666667
4.1,0,0,0,0,150,150,75,75,37.2,33.6,0,0,1.902222222
4.1,0,0,0,0,150,150,75,75,37.2,33.6,0,0,1.799111111
0.67,0,0,0,0,150,150,75,75,37.4,32.1,0,0,2.170222222
0.67,0,0,0,0,150,150,75,75,37.4,32.1,0,0,2.215111111
0.67,0,0,0,0,150,150,75,75,37.4,32.1,0,0,2.371555556
1.2,0,0,0,0,150,150,75,75,37.4,33.6,0,0,2.084
1.2,0,0,0,0,150,150,75,75,37.4,33.6,0,0,2.925333333
1.2,0,0,0,0,150,150,75,75,37.4,33.6,0,0,2.139111111
2.18,0,0,0,0,150,150,75,75,37.4,33.6,0,0,2.548444444
2.18,0,0,0,0,150,150,75,75,37.4,33.6,0,0,3.120444444
2.18,0,0,0,0,150,150,75,75,37.4,33.6,0,0,3.159111111
1.15,0,0,0,0,150,150,75,75,37.4,36.9,0,0,2.103555556
1.15,0,0,0,0,150,150,75,75,37.4,36.9,0,0,2.432444444
1.15,0,0,0,0,150,150,75,75,37.4,36.9,0,0,2.958222222
2.36,0,0,0,0,150,150,75,75,37.4,36.9,0,0,2.624444444
2.36,0,0,0,0,150,150,75,75,37.4,36.9,0,0,2.889777778
2.36,0,0,0,0,150,150,75,75,37.4,36.9,0,0,3.987555556
4.1,0,0,0,0,150,150,75,75,37.4,36.9,0,0,2.112
4.1,0,0,0,0,150,150,75,75,37.4,36.9,0,0,1.947555556
4.1,0,0,0,0,150,150,75,75,37.4,36.9,0,0,1.908888889
0.5,0,0,0,0,150,150,75,75,25.084,40.675,0,0,1.085
4,0,0,0,0,150,150,75,75,25.084,40.675,0,0,1.345
6,0,0,0,0,150,150,75,75,25.084,40.675,0,0,1.463
8,0,0,0,0,150,150,75,75,25.084,40.675,0,0,1.589
0.5,0,0,0,0,150,150,75,75,29.948,40.675,0,0,1.107
4,0,0,0,0,150,150,75,75,29.948,40.675,0,0,1.381
6,0,0,0,0,150,150,75,75,29.948,40.675,0,0,1.549
8,0,0,0,0,150,150,75,75,29.948,40.675,0,0,1.55
0.5,0,0,0,0,150,150,75,75,41.015,40.675,0,0,1.24
4,0,0,0,0,150,150,75,75,41.015,40.675,0,0,1.435
6,0,0,0,0,150,150,75,75,41.015,40.675,0,0,1.603
8,0,0,0,0,150,150,75,75,41.015,40.675,0,0,1.966
0.5,0,0,0,0,150,150,75,75,25.084,40.675,0,0,1.085
0.5,0,0,0,0,150,150,75,75,25.084,40.675,336,0.007,1.632
0.5,0,0,0,0,150,150,75,75,25.084,40.675,336,0.012,2.158
4,0,0,0,0,150,150,75,75,25.084,40.675,336,0,1.345
4,0,0,0,0,150,150,75,75,25.084,40.675,336,0.007,1.865
4,0,0,0,0,150,150,75,75,25.084,40.675,336,0.012,2.324
6,0,0,0,0,150,150,75,75,25.084,40.675,336,0,1.463
6,0,0,0,0,150,150,75,75,25.084,40.675,336,0.007,1.976
6,0,0,0,0,150,150,75,75,25.084,40.675,336,0.012,2.496
8,0,0,0,0,150,150,75,75,25.084,40.675,336,0,1.589
8,0,0,0,0,150,150,75,75,25.084,40.675,336,0.007,2.132
8,0,0,0,0,150,150,75,75,25.084,40.675,336,0.012,2.612
0.5,0,0,0,0,150,150,75,75,29.948,40.675,336,0,1.107
0.5,0,0,0,0,150,150,75,75,29.948,40.675,336,0.007,1.814
0.5,0,0,0,0,150,150,75,75,29.948,40.675,336,0.012,2.296
4,0,0,0,0,150,150,75,75,29.948,40.675,336,0,1.381
4,0,0,0,0,150,150,75,75,29.948,40.675,336,0.007,1.818
4,0,0,0,0,150,150,75,75,29.948,40.675,336,0.012,2.516
6,0,0,0,0,150,150,75,75,29.948,40.675,336,0,1.549
6,0,0,0,0,150,150,75,75,29.948,40.675,336,0.007,2.122
6,0,0,0,0,150,150,75,75,29.948,40.675,336,0.012,2.734
8,0,0,0,0,150,150,75,75,29.948,40.675,336,0,1.55
8,0,0,0,0,150,150,75,75,29.948,40.675,336,0.007,2.235
8,0,0,0,0,150,150,75,75,29.948,40.675,336,0.012,2.841
0.5,0,0,0,0,150,150,75,75,41.015,40.675,336,0,1.24
